INFO:root:Dm_BurnNotebook is equal to Dm_HilariousWant (k=1.00
INFO:root:Dm_PleaseBake is equal to Dm_RobinJumbled (k=1.00
INFO:root:Dm_SmartLanguid is equal to Dm_IncompetentChivalrous (k=1.00
INFO:root:Dm_UnwrittenScale is equal to Dm_CheckChickens (k=1.00
INFO:root:Dm_TeenyPenitent is equal to Dm_CureDiscussion (k=1.00
INFO:root:Dm_ComplexBalance is equal to Dm_WindyFlock (k=1.00
INFO:root:Dm_IcyAblaze is equal to Dm_CuteInjure (k=1.00
INFO:root:Dm_KnowledgeWindy is equal to Dm_InnateDecay (k=1.00
INFO:root:Dm_OrderLackadaisical is equal to Dm_AttractiveLamp (k=1.00
INFO:root:Dm_BasketMessy is equal to Dm_RomanticChin (k=1.00
INFO:root:Dm_PaintWrathful is equal to Dm_ChangeableThreatening (k=1.00
INFO:root:Dm_ManyWindy is equal to Dm_ListDouble (k=1.00
INFO:root:Dm_DecayPat is equal to Dm_ThickPerform (k=1.00
INFO:root:Dm_ChangeableAdhesive is equal to Dm_ToysPayment (k=1.00
INFO:root:Dm_RambunctiousCute is equal to Dm_FranticChubby (k=1.00
INFO:root:Dm_GirlKittens is equal to Dm_InquisitiveIdea (k=1.00
INFO:root:Dm_CalculateTreat is equal to Dm_AgonizingComparison (k=1.00
INFO:root:Dm_ScratchAnalyze is equal to Dm_ThickImpolite (k=1.00
INFO:root:Dm_CarefulFierce is equal to Dm_BoundaryCold (k=1.00
INFO:root:Dm_OwnCure is equal to Dm_HangingPuzzled (k=1.00
INFO:root:Dm_VivaciousDisappear is equal to Dm_WanderEyes (k=1.00
INFO:root:Dm_IgnorantReject is equal to Dm_BelligerentImpartial (k=1.00
INFO:root:Dm_IncreaseCoal is equal to Dm_MachineFrighten (k=1.00
INFO:root:Dm_FourBeautiful is equal to Dm_SpiffyMessy (k=1.00
INFO:root:Dm_LoafDivision is equal to Dm_SleepyMeasure (k=1.00
INFO:root:Dm_WiseCold is equal to Dm_EggnogSofa (k=1.00
INFO:root:Dm_BoastTow is equal to Dm_JellyClass (k=1.00
INFO:root:Dm_RedundantSuccessful is equal to Dm_SkinBack (k=1.00
INFO:root:Dm_HarmonyAd is equal to Dm_SuccinctMemorize (k=1.00
INFO:root:Dm_RayReach is equal to Dm_DockBright (k=1.00
INFO:root:Dm_LegsYam is equal to Dm_GreedyRetire (k=1.00
INFO:root:Dm_StripedYummy is equal to Dm_StupidFrighten (k=1.00
INFO:root:Dm_RedundantEdge is equal to Dm_TediousHour (k=1.00
INFO:root:Dm_ColorAdjoining is equal to Dm_ToysSystem (k=1.00
INFO:root:Dm_StiffRecord is equal to Dm_BashfulPaint (k=1.00
INFO:root:Dm_KotskyCareful is equal to Dm_FirstPushy (k=1.00
INFO:root:Dm_TrembleBack is equal to Dm_FlashCheck (k=1.00
INFO:root:Dm_BehaviorUninterested is equal to Dm_ScissorsCrowded (k=1.00
INFO:root:Dm_CardSuccessful is equal to Dm_WaitingStory (k=1.00
INFO:root:Dm_ImpartialExpansion is equal to Dm_PaymentTouch (k=1.00
INFO:root:Dm_PlantsUnwritten is equal to Dm_LocketSqueamish (k=1.00
INFO:root:Dm_SubduedDislike is equal to Dm_NutBeginner (k=1.00
INFO:root:Dm_CollectDoor is equal to Dm_PerformCalculate (k=1.00
INFO:root:Dm_WeightContain is equal to Dm_LimitTeaching (k=1.00
INFO:root:Dm_SkiFlow is equal to Dm_HuskyHateful (k=1.00
INFO:root:Dm_ListMove is equal to Dm_BagCat (k=1.00
INFO:root:Dm_NutAdjoining is equal to Dm_HoseThoughtless (k=1.00
INFO:root:Dm_ZooFemale is equal to Dm_NarrowImpolite (k=1.00
INFO:root:Dm_LockMend is equal to Dm_RoomGovernment (k=1.00
INFO:root:Dm_HatefulDefective is equal to Dm_TiresomeFragile (k=1.00
INFO:root:Dm_TroubledPack is equal to Dm_RightfulCurved (k=1.00
INFO:root:Dm_AmuseNotebook is equal to Dm_ChubbySuper (k=1.00
INFO:root:Dm_FreeReach is equal to Dm_GrandfatherSearch (k=1.00
INFO:root:Dm_ChickensToy is equal to Dm_PleasePeck (k=1.00
INFO:root:Dm_HalfGlamorous is equal to Dm_LightReminiscent (k=1.00
INFO:root:Dm_PersonShade is equal to Dm_SupplyBury (k=1.00
INFO:root:Dm_StrengthenDebt is equal to Dm_IgnorantNaive (k=1.00
INFO:root:Dm_FamousAbject is equal to Dm_BitWealthy (k=1.00
INFO:root:Dm_ComplexUnite is equal to Dm_EngineHysterical (k=1.00
INFO:root:Dm_ClassTrousers is equal to Dm_BasketDidactic (k=1.00
INFO:root:Dm_DrownBasin is equal to Dm_SeaMatch (k=1.00
INFO:root:Dm_MarkedToe is equal to Dm_GirlSpy (k=1.00
INFO:root:Dm_TrapBake is equal to Dm_RecogniseEyes (k=1.00
INFO:root:Dm_GirlImportant is equal to Dm_BootTransport (k=1.00
INFO:root:Dm_AgonizingMachine is equal to Dm_MarkPlants (k=1.00
INFO:root:Dm_FaithfulLarge is equal to Dm_JumbledPaint (k=1.00
INFO:root:Dm_PriceStiff is equal to Dm_WorkHeat (k=1.00
INFO:root:Dm_NoisySecret is equal to Dm_RightfulDecay (k=1.00
INFO:root:Dm_CryBird is equal to Dm_HeartbreakingShort (k=1.00
INFO:root:Dm_OatmealWaiting is equal to Dm_BabiesZip (k=1.00
INFO:root:Dm_LookAwake is equal to Dm_SpySugar (k=1.00
INFO:root:Dm_HilariousFork is equal to Dm_BaseballWhite (k=1.00
INFO:root:Dm_PassBirds is equal to Dm_HuskyTremble (k=1.00
INFO:root:Dm_DrownFill is equal to Dm_EnergeticChubby (k=1.00
INFO:root:Dm_ScaleKneel is equal to Dm_MouseLamentable (k=1.00
INFO:root:Dm_KnotSystem is equal to Dm_SteerDelicate (k=1.00
INFO:root:Dm_ColorfulEnergetic is equal to Dm_SpiffyKnowledge (k=1.00
INFO:root:Dm_LargeSubdued is equal to Dm_WipeBathe (k=1.00
INFO:root:Dm_WomanStupid is equal to Dm_DiscussionVolcano (k=1.00
INFO:root:Dm_SuperBaseball is equal to Dm_RightfulJumbled (k=1.00
INFO:root:Dm_FiveStupid is equal to Dm_PearSave (k=1.00
INFO:root:Dm_NoiselessWretched is equal to Dm_JarVolcano (k=1.00
