INFO:root:Dm_SincereNarrow is equal to Dm_DistroRailway (k=1.00
INFO:root:Dm_WeightAdvertisement is equal to Dm_PorterInstruct (k=1.00
INFO:root:Dm_GroundKotsky is equal to Dm_ChickensToy (k=1.00
INFO:root:Dm_HandOrdinary is equal to Dm_ImpartialLate (k=1.00
INFO:root:Dm_BurnWindy is equal to Dm_WisePinus (k=1.00
INFO:root:Dm_CartCraven is equal to Dm_CarefulUpset (k=1.00
INFO:root:Dm_WailHysterical is equal to Dm_SockHateful (k=1.00
INFO:root:Dm_WickedCrook is equal to Dm_SplendidHistorical (k=1.00
INFO:root:Dm_CycleSofa is equal to Dm_AbjectSisters (k=1.00
INFO:root:Dm_UpsetVolcano is equal to Dm_PanoramicWing (k=1.00
INFO:root:Dm_JoyousCrime is equal to Dm_IcyTow (k=1.00
INFO:root:Dm_AnalyzeCactus is equal to Dm_MilkyTrains (k=1.00
INFO:root:Dm_PleasantSleep is equal to Dm_RambunctiousCute (k=1.00
INFO:root:Dm_FlashUnequaled is equal to Dm_DrownIncrease (k=1.00
INFO:root:Dm_RecogniseRequest is equal to Dm_ManageShocking (k=1.00
INFO:root:Dm_SincereMitten is equal to Dm_DoubleSerious (k=1.00
INFO:root:Dm_StomachCrook is equal to Dm_PleasantFrail (k=1.00
INFO:root:Dm_GlamorousSerious is equal to Dm_TouchAccurate (k=1.00
INFO:root:Dm_SearchSlow is equal to Dm_TouchPenitent (k=1.00
INFO:root:Dm_OrdinaryHanging is equal to Dm_ShadeShop (k=1.00
INFO:root:Dm_ZonkedThank is equal to Dm_NoisyShake (k=1.00
INFO:root:Dm_PlanColor is equal to Dm_RealizeNoxious (k=1.00
INFO:root:Dm_VoyageUndress is equal to Dm_CrimeWhisper (k=1.00
INFO:root:Dm_AmuseLegs is equal to Dm_NoisySecret (k=1.00
INFO:root:Dm_FrightenGrandfather is equal to Dm_IncreaseCoal (k=1.00
INFO:root:Dm_DeadpanBlot is equal to Dm_DecayPat (k=1.00
INFO:root:Dm_OilCute is equal to Dm_TransportSprout (k=1.00
INFO:root:Dm_WaitPayment is equal to Dm_EngineLight (k=1.00
INFO:root:Dm_HugeRecognise is equal to Dm_AbjectQuirky (k=1.00
