INFO:root:Dm_TraceVivacious is equal to Dm_CollectDoor (k=1.00
INFO:root:Dm_GlamorousGovernment is equal to Dm_CarefulFierce (k=1.00
INFO:root:Dm_OatmealKnife is equal to Dm_WisePinus (k=1.00
INFO:root:Dm_ChinCultured is equal to Dm_PleasantFrail (k=1.00
INFO:root:Dm_ZippySick is equal to Dm_OwnCure (k=1.00
INFO:root:Dm_NervousBump is equal to Dm_SplendidHistorical (k=1.00
INFO:root:Dm_ReminiscentEggnog is equal to Dm_DistroRailway (k=1.00
INFO:root:Dm_BombThrill is equal to Dm_MachineLocket (k=1.00
INFO:root:Dm_PossessAbject is equal to Dm_BumpHistory (k=1.00
INFO:root:Dm_NaiveWeight is equal to Dm_CarefulUpset (k=1.00
INFO:root:Dm_SleepyFour is equal to Dm_TightfistedMountain (k=1.00
INFO:root:Dm_OnerousEvasive is equal to Dm_AbjectSisters (k=1.00
INFO:root:Dm_StemCount is equal to Dm_AbjectQuirky (k=1.00
INFO:root:Dm_LabelYam is equal to Dm_QuackClub (k=1.00
INFO:root:Dm_ProbableRoom is equal to Dm_IcyTow (k=1.00
INFO:root:Dm_WrenManage is equal to Dm_ExoticScintillating (k=1.00
INFO:root:Dm_InnateWicked is equal to Dm_DrownBasin (k=1.00
INFO:root:Dm_MomentousVeil is equal to Dm_AgonizingMachine (k=1.00
INFO:root:Dm_HeatFrail is equal to Dm_BeadTart (k=1.00
INFO:root:Dm_InstructSlow is equal to Dm_TouchAccurate (k=1.00
INFO:root:Dm_DazzlingDildo is equal to Dm_JellyOrange (k=1.00
INFO:root:Dm_WeightBurly is equal to Dm_NoisyShake (k=1.00
INFO:root:Dm_DinnerWhistle is equal to Dm_EfficientCake (k=1.00
INFO:root:Dm_AwakePeck is equal to Dm_LackadaisicalEasy (k=1.00
INFO:root:Dm_FamousTeeny is equal to Dm_AnalyzeHeat (k=1.00
INFO:root:Dm_ScratchSlim is equal to Dm_CrimeWhisper (k=1.00
